sep=,
180513111814Time,Lights,input0,input1,input2,angleFR,angleFL,angleBR,angleBL,powerFR,powerFL,powerBR,powerBL
0.20000481605529785,0,0,0,0,0,0,0,0,0,0,0,0
0.4000108242034912,0,0,0,0,0,0,0,0,0,0,0,0
0.6000189781188965,0,0,0,0,0,0,0,0,0,0,0,0
0.800029993057251,0,0,0,0,0,0,0,0,0,0,0,0
1.0000402927398682,0,0,0,0,0,0,0,0,0,0,0,0
1.2000482082366943,0,0,0,0,0,0,0,0,0,0,0,0
1.4000582695007324,0,0,0,0,0,0,0,0,0,0,0,0
1.6000704765319824,0,0,0,0,0,0,0,0,0,0,0,0
1.8000819683074951,0,0,0,0,0,0,0,0,0,0,0,0
2.0000908374786377,0,0,0,0,0,0,0,0,0,0,0,0
2.200099468231201,0,0,0,0,0,0,0,0,0,0,0,0
2.400104522705078,0,0,0,0,0,0,0,0,0,0,0,0
2.60011625289917,0,0,0,0,0,0,0,0,0,0,0,0
2.8001246452331543,0,0,0,0,0,0,0,0,0,0,0,0
3.0001349449157715,0,0,0,0,0,0,0,0,0,0,0,0
3.200147867202759,0,0,0,0,0,0,0,0,0,0,0,0
3.4001543521881104,0,0,0,0,0,0,0,0,0,0,0,0
3.600165605545044,0,0,0,0,0,0,0,0,0,0,0,0
3.8001747131347656,0,0,0,0,0,0,0,0,0,0,0,0
4.000179052352905,0,0,0,0,0,0,0,0,0,0,0,0
4.200188636779785,0,0,0,0,0,0,0,0,0,0,0,0
4.400192737579346,0,0,0,0,0,0,0,0,0,0,0,0
4.600201368331909,0,0,0,0,0,0,0,0,0,0,0,0
4.8002049922943115,0,0,0,0,0,0,0,0,0,0,0,0
5.000213146209717,0,0,0,0,0,0,0,0,0,0,0,0
5.200223445892334,0,0,0,0,0,0,0,0,0,0,0,0
5.4002320766448975,0,0,0,0,0,0,0,0,0,0,0,0
5.60023832321167,0,0,0,0,0,0,0,0,0,0,0,0
5.800247669219971,0,0,0,0,0,0,0,0,0,0,0,0
6.000250816345215,0,0,0,0,0,0,0,0,0,0,0,0
6.200262784957886,0,0,0,0,0,0,0,0,0,0,0,0
6.400271415710449,0,0,0,0,0,0,0,0,0,0,0,0
6.6002795696258545,0,0,0,0,0,0,0,0,0,0,0,0
6.800284147262573,0,0,0,0,0,0,0,0,0,0,0,0
7.000292539596558,0,0,0,0,0,0,0,0,0,0,0,0
7.200301647186279,0,0,0,0,0,0,0,0,0,0,0,0
7.400310754776001,0,0,0,0,0,0,0,0,0,0,0,0
7.600322246551514,0,0,0,0,0,0,0,0,0,0,0,0
7.8003315925598145,0,0,0,0,0,0,0,0,0,0,0,0
8.00034236907959,0,0,0,0,0,0,0,0,0,0,0,0
8.200346946716309,0,0,0,0,0,0,0,0,0,0,0,0
8.40035605430603,0,0,0,0,0,0,0,0,0,0,0,0
8.600358486175537,0,0,0,0,0,0,0,0,0,0,0,0
8.800364971160889,0,0,0,0,0,0,0,0,0,0,0,0
9.000371217727661,0,0,0,0,0,0,0,0,0,0,0,0
9.200383424758911,0,0,0,0,0,0,0,0,0,0,0,0
9.400390863418579,0,0,0,0,0,0,0,0,0,0,0,0
9.600398063659668,0,0,0,0,0,0,0,0,0,0,0,0
9.800403833389282,0,0,0,0,0,0,0,0,0,0,0,0
10.000413656234741,0,0,0,0,0,0,0,0,0,0,0,0
10.200417757034302,0,0,0,0,0,0,0,0,0,0,0,0
